"label","r","a","s","defined","selected","visible","locked","description"
"F-1",-47.9319,-50.8868,122.858,1,1,1,0,""
"F-2",-46.8999,-17.3972,112.996,1,1,1,0,""
"F-3",-46.6912,-9.40119,75.5818,1,1,1,0,""
"F-4",-47.0187,-8.34454,49.6858,1,1,1,0,""
"F-5",-48.0201,-17.784,8.09822,1,1,1,0,""
"F-6",-50.5278,-33.2156,5.48611,1,1,1,0,""
"F-7",-50.0946,-45.5356,17.0646,1,1,1,0,""
"F-8",-49.1223,-48.015,62.5871,1,1,1,0,""
"F-9",-35.5238,-25.0701,113.478,1,1,1,0,""
"F-10",-36.1776,-12.495,87.6603,1,1,1,0,""
"F-11",-30.3593,-11.3244,69.3874,1,1,1,0,""
"F-12",-26.6228,-16.1711,59.9794,1,1,1,0,""
"F-13",-21.0508,-27.7354,51.5548,1,1,1,0,""
"F-14",-19.379,-25.2215,41.4823,1,1,1,0,""
"F-15",-34.3249,-43.1811,9.48345,1,1,1,0,""
"F-16",-41.1663,-49.1182,10.1936,1,1,1,0,""
"F-17",-41.3146,-42.2155,7.47953,1,1,1,0,""
"F-18",-23.3038,-40.0636,27.3576,1,1,1,0,""
"F-19",-25.6525,-40.4229,22.1728,1,1,1,0,""
"F-20",-23.5581,-37.4439,24.9976,1,1,1,0,""
"F-21",-25.2736,-42.8658,24.1779,1,1,1,0,""
"F-22",-12.894,-34.76,40.2685,1,1,1,0,""
"F-23",-48.879,-51.0493,109.281,1,1,1,0,""
"F-24",-26.2358,-26.4513,57.2833,1,1,1,0,""
"OC_1-1",-27.3309,-22.7664,85.9676,1,1,1,0,""
"OC_1-2",-25.5526,-24.7091,87.0254,1,1,1,0,""
"OC_1-3",-23.7118,-26.6434,87.9613,1,1,1,0,""
"",-22.0156,-28.8728,87.6556,1,1,1,0,""
"OC_1-4",-20.7474,-31.1141,86.495,1,1,1,0,""
"OC_1-5",-19.663,-33.0797,84.768,1,1,1,0,""
"",-18.0043,-34.5458,83.004,1,1,1,0,""
"OC_1-6",-16.3742,-35.5972,80.9504,1,1,1,0,""
"OC_1-7",-15.2529,-36.1546,78.4093,1,1,1,0,""
"OC_1-8",-14.1087,-36.3102,75.8184,1,1,1,0,""
"",-12.9939,-36.2281,73.21,1,1,1,0,""
"OC_1-9",-11.9275,-36.6827,70.6315,1,1,1,0,""
"OC_1-10",-11.0622,-37.7241,68.1405,1,1,1,0,""
"",-10.5596,-38.9519,65.6333,1,1,1,0,""
"OC_1-11",-10.2127,-40.1307,63.0755,1,1,1,0,""
"OC_1-12",-9.76452,-40.8986,60.3882,1,1,1,0,""
"",-9.46159,-40.9708,57.5724,1,1,1,0,""
"OC_1-13",-9.13574,-40.8063,54.7602,1,1,1,0,""
"OC_1-14",-8.91855,-40.0584,52.0829,1,1,1,0,""
"OC_1-15",-9.26587,-38.7637,49.5819,1,1,1,0,""
"OC_2-1",-46.63,-17.4466,113.067,1,1,1,0,""
"OC_2-2",-46.1727,-18.6113,114.952,1,1,1,0,""
"OC_2-3",-45.9523,-20.1001,116.623,1,1,1,0,""
"OC_2-4",-44.1897,-20.8962,117.596,1,1,1,0,""
"OC_2-5",-41.9688,-20.8467,117.385,1,1,1,0,""
"OC_2-6",-40.1925,-20.3805,116.104,1,1,1,0,""
"OC_2-7",-38.8835,-19.4358,114.524,1,1,1,0,""
"OC_2-8OC_2-9",-37.5224,-20.2049,113.905,1,1,1,0,""
"OC_2-10",-36.5015,-22.0854,114.131,1,1,1,0,""
"OC_2-11OC_2-12",-35.7439,-24.1034,113.451,1,1,1,0,""
"OC_2-13",-35.9356,-26.2348,113.801,1,1,1,0,""
"OC_2-14",-36.747,-28.2725,114.355,1,1,1,0,""
"",-37.362,-30.447,114.489,1,1,1,0,""
"OC_2-15",-38.1578,-32.5645,114.533,1,1,1,0,""
"OC_2-16",-39.3309,-34.4837,114.782,1,1,1,0,""
"OC_2-17",-40.7407,-36.1735,115.299,1,1,1,0,""
"OC_2-18",-42.4927,-37.5107,115.79,1,1,1,0,""
"OC_2-19",-44.4504,-38.5022,116.292,1,1,1,0,""
"OC_2-20",-46.0919,-39.4941,117.483,1,1,1,0,""
"OC_2-21",-47.5539,-39.5613,119.163,1,1,1,0,""
