genus_species,habitat,activity,locomotion,body_mass_g,pc1,pc2,convergence_angle,frontation_angle
Mus_musculus,commensal,nocturnal,terrestrial,25,0.031,-0.025,61.7,39.8
Rattus_norvegicus,commensal,nocturnal,terrestrial,300,0.042,-0.018,58.3,42.1
Peromyscus_maniculatus,grassland,nocturnal,terrestrial,22,0.028,-0.012,59.4,41.2
Microtus_ochrogaster,grassland,crepuscular,terrestrial,45,-0.015,0.033,55.1,44.6
Ondatra_zibethicus,wetland,crepuscular,semiaquatic,1200,-0.028,0.024,54.3,44.9
Castor_canadensis,wetland,crepuscular,semiaquatic,20000,-0.062,0.068,45.6,52.1
Dipodomys_ordii,desert,nocturnal,saltatorial,50,0.055,-0.038,64.2,37.4
Jaculus_jaculus,desert,nocturnal,saltatorial,60,0.058,-0.041,65.1,36.8
Meriones_unguiculatus,desert,crepuscular,terrestrial,70,0.038,-0.022,60.1,40.5
Psammomys_obesus,desert,diurnal,terrestrial,200,0.033,-0.019,58.9,41.4
Cavia_porcellus,grassland,crepuscular,terrestrial,800,-0.021,0.019,53.7,45.2
Chinchilla_lanigera,montane,crepuscular,saltatorial,500,-0.033,0.028,52.1,46.8
Hydrochoerus_hydrochaeris,wetland,crepuscular,semiaquatic,50000,-0.071,0.079,43.2,54.3
Heterocephalus_glaber,desert,fossorial,fossorial,35,-0.055,0.061,47.3,50.6
Fukomys_damarensis,savanna,fossorial,fossorial,130,-0.049,0.053,48.7,49.4
Marmota_marmota,montane,diurnal,terrestrial,4000,-0.051,0.055,48.1,49.7
Ictidomys_tridecemlineatus,grassland,diurnal,terrestrial,180,-0.039,0.042,51.8,46.3
Glis_glis,woodland,nocturnal,arboreal,120,-0.018,0.015,56.4,43.1
